,Provincias,Ramas de actividad,periodo,Total
58,28 Madrid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,237540292
59,28 Madrid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,219030504
60,29 Málaga,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,30776021
61,29 Málaga,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,28160097
62,30 Murcia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,32719230
63,30 Murcia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,29775480
64,31 Navarra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,20518471
65,31 Navarra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,18937439
66,32 Ourense,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7104228
67,32 Ourense,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,6384529
68,34 Palencia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,4303764
69,34 Palencia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,4029182
70,"35 Palmas, Las",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,22056871
71,"35 Palmas, Las",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,19692679
72,36 Pontevedra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,21988329
73,36 Pontevedra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,20025926
74,"26 Rioja, La",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,8619779
75,"26 Rioja, La",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,8105603
76,37 Salamanca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7289859
77,37 Salamanca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,6622699
78,38 Santa Cruz de Tenerife,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,20786249
79,38 Santa Cruz de Tenerife,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,18937445
80,40 Segovia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3460982
81,40 Segovia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,3179622
82,41 Sevilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,40657710
83,41 Sevilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,37029412
84,42 Soria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,2531565
85,42 Soria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,2285159
86,43 Tarragona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,24421364
87,43 Tarragona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,21388438
88,44 Teruel,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3460089
89,44 Teruel,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,3098690
90,45 Toledo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,13258842
91,45 Toledo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,12252188
92,46 Valencia/València,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,61410589
93,46 Valencia/València,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,56547166
94,47 Valladolid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14293892
95,47 Valladolid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,13541411
96,49 Zamora,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3582273
97,49 Zamora,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,3226677
98,50 Zaragoza,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,27896994
99,50 Zaragoza,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,26145786
100,51 Ceuta,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,1765159
101,51 Ceuta,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,1655168
102,52 Melilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,1616543
103,52 Melilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,1514009
